Site	Plant_species	Bird_species	Fruit_availability_avgWeek	Observed_frugivory_visits	Random_mean_visits	Random_SD_visits	Random_2.5Quant	Random_97.5Quant	Selection_strength	Pvalue
Oxapampa	Cecropia_sp2	Zimmerius_viridiflavus	144	2	0.5268	0.72604027	0	2	2.029	0.042
Oxapampa	Cornus_peruviana	Zimmerius_viridiflavus	1354.833333	2	4.8754	2.110573451	1	9	-1.362	0.173
Oxapampa	Miconia_sp1	Zimmerius_viridiflavus	1944.166667	6	6.9958	2.43938054	3	12	-0.408	0.683
Oxapampa	Siparuna_tomentosa	Zimmerius_viridiflavus	49.33333333	1	0.1815	0.42281867	0	1	1.936	0.053
Oxapampa	Struthanthus_sp	Zimmerius_viridiflavus	907.5	16	3.2777	1.754391775	0	7	7.252	0
Pennsylvania	Crataegus_sp	Baeolophus_bicolor	843.75	1	0.0392	0.196130586	0	1	4.899	0
Pennsylvania	Lonicera_morrowii	Baeolophus_bicolor	78452.5	4	3.5875	1.007494543	1	5	0.409	0.683
Pennsylvania	Amelanchier_sp	Bombycilla_cedrorum	240	18	0.979	0.987550771	0	3	17.236	0
Pennsylvania	Cornus_amomum	Bombycilla_cedrorum	9927.5	1	40.6678	6.090513328	29	53	-6.513	0
Pennsylvania	Cornus_racemosa	Bombycilla_cedrorum	2480	5	10.1797	3.16471317	5	17	-1.637	0.102
Pennsylvania	Crataegus_sp	Bombycilla_cedrorum	843.75	16	3.4595	1.82496378	0	7	6.872	0
Pennsylvania	Elaeagnus_umbellata	Bombycilla_cedrorum	5806.25	1	23.8351	4.751732935	15	34	-4.806	0
Pennsylvania	Lonicera_morrowii	Bombycilla_cedrorum	78452.5	362	321.0683	9.550285645	302	340	4.286	0
Pennsylvania	Prunus_serotina	Bombycilla_cedrorum	6875	37	28.1923	5.165480513	19	39	1.705	0.088
Pennsylvania	Rubus_allegheniensis	Bombycilla_cedrorum	3024.166667	2	12.34	3.43181843	6	19	-3.013	0.003
Pennsylvania	Sambucus_canadensis	Bombycilla_cedrorum	929.25	4	3.7753	1.949612784	1	8	0.115	0.908
Pennsylvania	Crataegus_sp	Cardinalis_cardinalis	843.75	1	0.0329	0.181165317	0	1	5.338	0
Pennsylvania	Lonicera_morrowii	Cardinalis_cardinalis	78452.5	2	2.8793	0.893762491	1	4	-0.984	0.325
Pennsylvania	Rubus_allegheniensis	Cardinalis_cardinalis	3024.166667	1	0.1182	0.338290118	0	1	2.607	0.009
Pennsylvania	Lonicera_morrowii	Catharus_fuscescens	78452.5	5	3.6033	0.996608465	2	5	1.401	0.161
Pennsylvania	Amelanchier_sp	Cyanocitta_cristata	240	1	0.0116	0.107082149	0	0	9.23	0
Pennsylvania	Rubus_allegheniensis	Cyanocitta_cristata	3024.166667	4	0.1376	0.364526443	0	1	10.596	0
Pennsylvania	Amelanchier_sp	Dumetella_carolinensis	240	2	0.043	0.204829674	0	1	9.554	0
Pennsylvania	Lonicera_morrowii	Dumetella_carolinensis	78452.5	4	13.6494	1.966587498	10	17	-4.907	0
Pennsylvania	Prunus_serotina	Dumetella_carolinensis	6875	10	1.2072	1.073770673	0	4	8.189	0
Pennsylvania	Prunus_virginiana	Dumetella_carolinensis	366	1	0.0646	0.25383712	0	1	3.685	0
Pennsylvania	Rubus_allegheniensis	Dumetella_carolinensis	3024.166667	2	0.5333	0.72590895	0	2	2.021	0.043
Pennsylvania	Crataegus_sp	Hylocichla_mustelina	843.75	1	0.0381	0.195069719	0	1	4.931	0
Pennsylvania	Lonicera_morrowii	Hylocichla_mustelina	78452.5	3	3.6095	1.01346557	2	5	-0.601	0.548
Pennsylvania	Rubus_allegheniensis	Hylocichla_mustelina	3024.166667	1	0.1392	0.365016005	0	1	2.358	0.018
Pennsylvania	Amelanchier_sp	Melanerpes_carolinus	240	2	0.0062	0.079763376	0	0	24.996	0
Pennsylvania	Lonicera_morrowii	Melanerpes_carolinus	78452.5	1	2.1603	0.777087058	1	3	-1.493	0.135
Pennsylvania	Amelanchier_sp	Pheucticus_ludovicianus	240	1	0.0229	0.150259269	0	0	6.503	0
Pennsylvania	Prunus_serotina	Pheucticus_ludovicianus	6875	3	0.6276	0.765621876	0	2	3.099	0.002
Pennsylvania	Rubus_allegheniensis	Pheucticus_ludovicianus	3024.166667	4	0.2798	0.521286038	0	2	7.137	0
Pennsylvania	Sambucus_canadensis	Pheucticus_ludovicianus	929.25	2	0.0787	0.281272504	0	1	6.831	0
Pennsylvania	Cornus_racemosa	Pipilo_erythrophthalmus	2480	2	1.6693	1.29000152	0	5	0.256	0.798
Pennsylvania	Crataegus_sp	Pipilo_erythrophthalmus	843.75	9	0.5637	0.746590952	0	2	11.3	0
Pennsylvania	Elaeagnus_umbellata	Pipilo_erythrophthalmus	5806.25	2	3.9066	1.93330034	1	8	-0.986	0.324
Pennsylvania	Lonicera_morrowii	Pipilo_erythrophthalmus	78452.5	46	52.5648	3.827592717	45	60	-1.715	0.086
Pennsylvania	Prunus_serotina	Pipilo_erythrophthalmus	6875	2	4.594	2.082065681	1	9	-1.246	0.213
Pennsylvania	Rubus_allegheniensis	Pipilo_erythrophthalmus	3024.166667	12	2.0269	1.410664874	0	5	7.07	0
Pennsylvania	Amelanchier_sp	Piranga_olivacea	240	4	0.0372	0.191363063	0	1	20.708	0
Pennsylvania	Crataegus_sp	Piranga_olivacea	843.75	3	0.1242	0.349551968	0	1	8.227	0
Pennsylvania	Lonicera_morrowii	Piranga_olivacea	78452.5	1	11.4664	1.795269712	8	15	-5.83	0
Pennsylvania	Prunus_serotina	Piranga_olivacea	6875	4	1.0225	0.971950729	0	3	3.063	0.002
Pennsylvania	Rubus_allegheniensis	Piranga_olivacea	3024.166667	4	0.4545	0.662550864	0	2	5.351	0
Pennsylvania	Lonicera_morrowii	Toxostoma_rufum	78452.5	6	5.0518	1.205347272	3	7	0.787	0.431
Pennsylvania	Prunus_virginiana	Toxostoma_rufum	366	1	0.023	0.152555981	0	0	6.404	0
Pennsylvania	Amelanchier_sp	Turdus_migratorius	240	6	0.0871	0.29786316	0	1	19.851	0
Pennsylvania	Crataegus_sp	Turdus_migratorius	843.75	1	0.3038	0.550940935	0	2	1.264	0.206
Pennsylvania	Lonicera_morrowii	Turdus_migratorius	78452.5	29	28.0806	2.768911397	22	33	0.332	0.74
Pennsylvania	Prunus_serotina	Turdus_migratorius	6875	2	2.4714	1.514797512	0	6	-0.311	0.756
Pennsylvania	Rubus_allegheniensis	Turdus_migratorius	3024.166667	1	1.0764	1.031731306	0	3	-0.074	0.941
Pennsylvania	Lonicera_morrowii	Vireo_olivaceus	78452.5	1	1.443	0.628800874	0	2	-0.705	0.481
Pennsylvania	Prunus_serotina	Vireo_olivaceus	6875	1	0.125	0.340861583	0	1	2.567	0.01
Puerto_Rico	Bunchosia_glandulosa	Coereba_flaveola	450	6	7.0242	2.545596662	3	12	-0.402	0.688
Puerto_Rico	Casearia_decandra	Coereba_flaveola	31.2	1	0.4893	0.69565358	0	2	0.734	0.463
Puerto_Rico	Casearia_guianensis	Coereba_flaveola	39.4	24	0.6218	0.787544781	0	2	29.685	0
Puerto_Rico	Cecropia_schreberiana	Coereba_flaveola	925	19	14.4761	3.466501183	8	22	1.305	0.192
Puerto_Rico	Clusia_rosea	Coereba_flaveola	2.5	23	0.0423	0.20667603	0	1	111.081	0
Puerto_Rico	Cordia_polycephala	Coereba_flaveola	433	1	6.7524	2.500943764	2	12	-2.3	0.021
Puerto_Rico	Sideroxylon_salicifolium	Coereba_flaveola	176.25	1	2.7645	1.632086432	0	6	-1.081	0.28
Puerto_Rico	Tournefortia_hirsutissima	Coereba_flaveola	169.1666667	11	2.6319	1.582356716	0	6	5.288	0
Puerto_Rico	Trema_micrantha	Coereba_flaveola	831.25	6	13.048	3.35881291	7	20	-2.098	0.036
Puerto_Rico	Casearia_guianensis	Icterus_icterus	39.4	1	0.0466	0.215483371	0	1	4.424	0
Puerto_Rico	Cissus_sp_sicyoides	Icterus_icterus	2	1	0.0027	0.051893924	0	0	19.218	0
Puerto_Rico	Cupania_americana	Icterus_icterus	976	3	1.1672	0.983433208	0	3	1.864	0.062
Puerto_Rico	Tournefortia_hirsutissima	Icterus_icterus	169.1666667	1	0.2005	0.442175646	0	1	1.808	0.071
Puerto_Rico	Zanthoxylum_caribaeum	Icterus_icterus	1666.666667	1	1.9772	1.171246064	0	4	-0.834	0.404
Puerto_Rico	Casearia_decandra	Loxigilla_portoricensis	31.2	2	0.1001	0.315737168	0	1	6.017	0
Puerto_Rico	Casearia_guianensis	Loxigilla_portoricensis	39.4	1	0.1264	0.355296585	0	1	2.459	0.014
Puerto_Rico	Casearia_sylvestris	Loxigilla_portoricensis	10	1	0.0323	0.178493406	0	1	5.421	0
Puerto_Rico	Cecropia_schreberiana	Loxigilla_portoricensis	925	1	3.0088	1.601430304	0	6	-1.254	0.21
Puerto_Rico	Clusia_rosea	Loxigilla_portoricensis	2.5	6	0.0085	0.092890327	0	0	64.501	0
Puerto_Rico	Cupania_americana	Loxigilla_portoricensis	976	3	3.1667	1.639200966	0	7	-0.102	0.919
Puerto_Rico	Tetrazygia_elaeagnoides	Loxigilla_portoricensis	69.83333333	1	0.2338	0.484108455	0	1	1.583	0.113
Puerto_Rico	Trema_micrantha	Loxigilla_portoricensis	831.25	4	2.6774	1.514515968	0	6	0.873	0.383
Puerto_Rico	Bunchosia_glandulosa	Margarops_fuscatus	450	2	4.164	1.965525459	1	8	-1.101	0.271
Puerto_Rico	Bursera_simaruba	Margarops_fuscatus	37.33333333	1	0.3354	0.582014359	0	2	1.142	0.253
Puerto_Rico	Clusia_rosea	Margarops_fuscatus	2.5	21	0.0225	0.149652897	0	0	140.174	0
Puerto_Rico	Cordia_polycephala	Margarops_fuscatus	433	5	4.0277	1.938326191	1	8	0.502	0.616
Puerto_Rico	Cupania_americana	Margarops_fuscatus	976	14	8.9308	2.719255559	4	15	1.864	0.062
Puerto_Rico	Sideroxylon_salicifolium	Margarops_fuscatus	176.25	1	1.6191	1.268848371	0	4	-0.488	0.626
Puerto_Rico	Solanum_erianthum	Margarops_fuscatus	2.5	1	0.0246	0.15810547	0	0	6.169	0
Puerto_Rico	Tetrazygia_elaeagnoides	Margarops_fuscatus	69.83333333	1	0.6309	0.796698602	0	3	0.463	0.643
Puerto_Rico	Tournefortia_hirsutissima	Margarops_fuscatus	169.1666667	7	1.5551	1.245519619	0	4	4.372	0
Puerto_Rico	Trichilia_hirta	Margarops_fuscatus	2	1	0.0166	0.130100471	0	0	7.559	0
Puerto_Rico	Bunchosia_glandulosa	Mimus_polyglottus	450	1	0.2334	0.463838285	0	1	1.653	0.098
Puerto_Rico	Cordia_polycephala	Mimus_polyglottus	433	1	0.2207	0.456302894	0	1	1.708	0.088
Puerto_Rico	Tournefortia_hirsutissima	Mimus_polyglottus	169.1666667	1	0.0851	0.285772911	0	1	3.201	0.001
Puerto_Rico	Trema_micrantha	Myiarchis_antillarum	831.25	1	0.1499	0.356991224	0	1	2.381	0.017
Puerto_Rico	Bunchosia_glandulosa	Patagioenas_squamosa	450	2	0.6173	0.763609206	0	2	1.811	0.07
Puerto_Rico	Cupania_americana	Patagioenas_squamosa	976	3	1.3382	1.05068128	0	4	1.582	0.114
Puerto_Rico	Sideroxylon_salicifolium	Patagioenas_squamosa	176.25	2	0.2345	0.479929977	0	1	3.679	0
Puerto_Rico	Trema_micrantha	Patagioenas_squamosa	831.25	1	1.1217	0.977949257	0	3	-0.124	0.901
Puerto_Rico	Bursera_simaruba	Spindalis_portoricensis	37.33333333	2	0.0726	0.268582303	0	1	7.176	0
Puerto_Rico	Cecropia_schreberiana	Spindalis_portoricensis	925	2	1.7437	1.198563292	0	4	0.214	0.831
Puerto_Rico	Cupania_americana	Spindalis_portoricensis	976	1	1.8467	1.235294178	0	4	-0.685	0.493
Puerto_Rico	Sideroxylon_salicifolium	Spindalis_portoricensis	176.25	3	0.3304	0.56698147	0	2	4.708	0
Puerto_Rico	Solanum_erianthum	Spindalis_portoricensis	2.5	2	0.0046	0.06767051	0	0	29.487	0
Puerto_Rico	Tetrazygia_elaeagnoides	Spindalis_portoricensis	69.83333333	1	0.1337	0.363919708	0	1	2.38	0.017
Puerto_Rico	Clusia_rosea	Tiaris_bicolor	2.5	1	5.00E-04	0.022356207	0	0	44.708	0
Puerto_Rico	Cordia_polycephala	Tiaris_bicolor	433	1	0.1463	0.3686596	0	1	2.316	0.021
Puerto_Rico	Clusia_rosea	Turdus_plumbeus	2.5	1	0.0024	0.048933419	0	0	20.387	0
Puerto_Rico	Cupania_americana	Turdus_plumbeus	976	4	0.8342	0.836289602	0	3	3.786	0
Puerto_Rico	Bunchosia_glandulosa	Tyrannus_dominicensis	450	6	24.7739	4.763029229	16	35	-3.942	0
Puerto_Rico	Bursera_simaruba	Tyrannus_dominicensis	37.33333333	1	2.0635	1.423682	0	5	-0.747	0.455
Puerto_Rico	Casearia_decandra	Tyrannus_dominicensis	31.2	1	1.7188	1.300113683	0	5	-0.553	0.58
Puerto_Rico	Casearia_guianensis	Tyrannus_dominicensis	39.4	14	2.1646	1.475033699	0	5	8.024	0
Puerto_Rico	Cecropia_schreberiana	Tyrannus_dominicensis	925	1	50.8616	6.547223232	38	64	-7.616	0
Puerto_Rico	Clusia_rosea	Tyrannus_dominicensis	2.5	10	0.1324	0.362882086	0	1	27.192	0
Puerto_Rico	Cordia_polycephala	Tyrannus_dominicensis	433	19	23.8117	4.714580134	15	33	-1.021	0.307
Puerto_Rico	Cupania_americana	Tyrannus_dominicensis	976	231	53.7659	6.707189861	41	67	26.424	0
Puerto_Rico	Tetrazygia_elaeagnoides	Tyrannus_dominicensis	69.83333333	1	3.8333	1.93754652	1	8	-1.462	0.144
Puerto_Rico	Tournefortia_hirsutissima	Tyrannus_dominicensis	169.1666667	18	9.2664	2.978240761	4	16	2.932	0.003
Puerto_Rico	Trema_micrantha	Tyrannus_dominicensis	831.25	4	45.7353	6.282927775	34	58	-6.643	0
Puerto_Rico	Trichilia_hirta	Tyrannus_dominicensis	2	3	0.1145	0.336156288	0	1	8.584	0
Puerto_Rico	Zanthoxylum_caribaeum	Tyrannus_dominicensis	1666.666667	12	91.5294	8.115326333	76	108	-9.8	0
Puerto_Rico	Zanthoxylum_martinicensis	Tyrannus_dominicensis	50	2	2.7215	1.631319671	0	6	-0.442	0.658
Puerto_Rico	Clusia_rosea	Vireo_altiloquus	2.5	1	4.00E-04	0.019996999	0	0	49.987	0
